Protein,WT,WT.1,AT1G43770,AT1G43770,AT4G11560,AT4G11560
AT4G13170,5,14,9,10,9,11
AT2G43770,12,14,9,10,5,9
AT1G52360,10,14,8,13,8,10
AT5G16070,3,14,8,8,8,7
AT3G22960,3,14,8,8,8,8
AT5G63420,9,14,6,9,6,9
AT3G11964,2,14,0,4,17,10
AT3G11250,0,14,0,15,8,13
AT3G13580,9,15,24,12,16,16
AT3G25920,10,15,22,8,17,23
AT3G23810,5,15,21,9,12,15
AT4G38970,8,15,19,10,13,18
AT2G36460,12,15,17,12,14,10
AT5G16050,6,15,17,12,12,14
AT4G21280,7,15,17,11,8,8
AT2G01140,7,15,16,11,10,9
AT1G70600,11,15,15,13,17,16
AT1G23290,11,15,15,13,17,16
AT3G11630,6,15,15,11,15,15
AT4G39660,6,15,15,10,10,13
AT5G36160,8,15,15,12,9,13
AT4G34450,2,15,15,5,8,10
AT1G26630,11,15,15,13,7,12
AT5G02790,13,15,15,17,6,11
AT1G14320,6,15,14,15,18,17
AT3G49430,12,15,14,14,12,14
AT2G18110,5,15,14,9,5,5
AT1G66580,7,15,13,12,19,18
AT1G48410,10,15,12,8,7,10
AT3G11830,5,15,12,8,3,6
ATCG01310,16,15,11,16,22,24
ATCG00830,16,15,11,16,22,24
AT1G12910,5,15,8,10,4,8
AT5G55230,7,15,7,5,8,9
AT5G20890,8,16,28,11,10,12
AT5G20000,5,16,23,18,18,18
AT1G07890,17,16,20,16,13,21
AT1G78900,7,16,20,4,11,11
AT2G42100,11,16,19,12,11,11
AT2G28790,10,16,18,16,14,14
AT3G02520,6,16,18,16,12,14
AT5G66190,8,16,17,9,11,9
AT3G16950,6,16,15,13,14,13
AT5G24420,7,16,14,15,14,14
AT3G07010,5,16,13,11,17,17
AT1G78300,9,16,12,10,16,18
AT1G74270,9,16,12,7,15,19
AT3G12145,8,17,24,18,19,20
AT4G31700,9,17,23,11,17,18
AT5G65770,18,17,23,19,10,15
AT5G65780,18,17,22,18,9,14
AT3G13490,10,17,17,16,11,13
AT3G16470,3,17,16,11,14,10
AT4G31490,9,17,16,16,12,9
AT3G52580,19,17,15,14,17,19
AT4G34670,9,17,15,15,17,18
AT5G56740,13,17,15,11,11,14
AT3G55220,2,17,14,7,10,19
AT3G55200,2,17,14,7,10,19
AT1G16030,13,17,13,17,27,23
AT3G57560,4,17,13,15,14,11
AT3G49910,17,17,12,15,17,14
AT5G15200,9,17,12,16,17,20
AT3G55750,9,17,12,8,15,19
AT1G61580,8,17,11,12,16,22
AT1G41880,9,17,11,9,15,16
AT2G37230,5,17,11,14,15,18
AT1G69740,12,17,11,12,14,14
AT1G35160,7,17,11,10,11,11
AT5G48760,7,17,10,14,13,14
AT3G55760,4,17,9,9,5,8
AT3G03780,7,18,26,14,16,21
AT4G33010,7,18,24,11,12,17
AT1G78630,16,18,21,14,17,23
AT2G05920,8,18,20,11,17,24
AT1G78570,12,18,20,12,10,15
AT1G20200,12,18,20,12,7,9
AT1G62020,8,18,19,11,11,19
AT4G37800,12,18,18,21,17,13
AT4G16155,7,18,18,14,13,14
AT3G13930,7,18,18,14,13,13
AT4G31480,9,18,17,15,14,10
AT1G76010,7,18,16,14,24,26
AT2G27720,11,18,16,7,14,17
AT2G32080,10,18,15,13,14,15
AT3G18740,8,18,15,8,12,13
AT4G01850,10,18,14,20,15,18
AT3G55280,8,18,13,14,16,15
AT2G39460,8,18,13,14,16,15
AT3G02530,5,18,10,11,10,10
AT5G56000,14,19,33,16,13,19
AT5G19990,6,19,25,19,18,18
AT2G38770,2,19,19,14,18,23
AT1G34430,10,19,19,15,16,20
AT3G11910,8,19,18,14,18,19
AT2G36160,20,19,17,14,18,21
AT3G55410,5,19,17,14,12,19
AT3G11510,19,19,16,15,18,20
AT1G02840,13,19,16,12,17,18
AT1G72730,15,19,13,15,15,18
AT3G03960,9,19,13,13,10,9
AT3G07110,9,19,10,15,17,19
AT4G20850,13,20,28,17,4,9
AT2G44120,14,20,26,15,20,21
AT1G12900,10,20,25,15,16,18
AT4G36130,17,20,24,15,22,26
AT5G38430,10,20,23,14,21,25
AT1G64740,13,20,19,18,16,25
AT2G21660,20,20,15,18,12,16
AT5G11710,10,20,14,11,8,11
AT5G10360,10,20,13,13,17,19
AT1G29900,3,20,11,13,11,12
AT2G36620,6,20,9,10,15,14
AT4G13940,9,21,34,10,19,23
AT1G53750,8,21,27,9,7,6
AT1G18540,23,21,24,21,24,29
AT4G09000,10,21,22,15,18,18
AT4G24280,7,21,20,23,42,39
AT3G05530,10,21,19,17,18,19
AT1G20630,10,21,19,21,13,17
AT1G02500,11,21,18,20,19,21
AT4G34980,10,21,17,13,17,21
AT5G09590,13,21,16,22,18,16
AT5G43990,4,21,14,16,7,9
AT5G56030,16,22,37,18,13,23
AT4G33680,19,22,23,20,13,19
AT3G55800,9,22,22,18,11,12
AT5G38480,7,22,20,13,12,13
AT4G38680,4,22,20,13,12,16
AT2G38040,6,22,17,12,12,12
AT2G33340,6,22,14,12,22,14
AT1G29965,5,22,13,12,19,23
AT1G29970,0,22,13,12,19,23
AT5G56010,15,23,36,18,13,21
AT5G49910,6,23,25,21,36,37
AT5G06850,9,23,25,21,12,13
AT2G21390,13,23,24,17,11,21
AT5G65730,15,23,21,19,14,12
AT1G13880,6,23,19,11,16,17
AT3G04840,16,24,44,24,24,25
AT3G26650,13,24,32,19,20,19
AT1G04410,6,24,27,19,14,19
AT2G18020,19,24,26,20,28,29
AT1G35680,10,24,18,18,22,20
AT3G24830,14,24,18,20,18,21
AT2G19070,10,24,18,15,16,19
AT4G17390,14,24,17,18,19,20
AT4G16720,14,24,17,18,19,20
AT3G02260,7,24,16,10,12,21
AT2G46610,19,24,4,0,0,0
AT2G01250,11,25,35,20,28,32
AT1G36160,11,25,32,18,15,21
AT1G52400,9,25,27,20,24,24
AT1G09270,12,25,26,20,13,16
AT3G46520,21,25,25,19,19,19
AT3G55870,14,25,25,23,19,21
AT2G23390,13,25,25,25,17,15
AT2G04030,15,25,22,17,20,18
AT3G03570,5,25,18,15,11,11
AT3G53020,7,25,10,12,17,16
AT5G22440,14,26,28,19,24,26
AT3G25860,12,26,25,19,16,27
AT2G20580,17,26,20,22,19,26
AT3G46970,12,27,70,36,21,34
AT5G17920,10,27,39,17,26,34
AT2G24270,9,27,32,25,13,12
AT3G17390,19,27,29,24,26,27
AT3G06720,16,27,29,27,23,22
AT1G13440,14,27,26,21,22,22
AT3G04120,14,27,25,21,23,23
AT2G43030,10,27,20,17,32,33
AT2G27710,15,27,18,20,21,28
AT4G37910,15,27,17,26,22,22
AT5G38410,13,28,33,20,24,27
AT3G09820,19,28,29,22,24,29
AT3G23600,10,28,27,19,27,18
AT5G20290,20,28,23,26,27,33
AT1G54270,18,28,22,22,17,23
AT3G59770,3,28,19,19,21,22
AT5G03300,15,29,32,18,19,28
AT5G26000,6,29,28,15,28,28
AT5G07090,21,29,23,17,31,37
AT2G17360,21,29,23,17,31,37
AT3G28500,14,29,23,19,22,27
AT5G58420,21,29,22,17,28,36
AT2G34480,11,29,19,17,24,34
AT3G53750,20,30,34,21,24,25
AT2G37620,20,30,34,21,24,25
AT3G13470,17,30,31,26,20,23
AT1G08360,22,30,30,26,31,34
AT4G35090,11,30,28,23,17,17
AT1G74050,25,30,27,28,35,38
AT1G74060,24,30,27,28,35,38
AT1G06220,12,30,19,20,24,21
AT3G05590,18,30,17,17,18,23
AT5G38420,13,31,37,20,28,32
AT2G27530,22,31,26,24,25,32
AT1G59359,10,31,24,17,24,36
AT1G58983,10,31,24,17,24,36
AT1G58684,10,31,24,17,24,36
AT1G58380,10,31,24,17,24,36
AT5G11200,13,31,22,25,27,31
AT5G11170,13,31,22,25,27,31
AT1G01300,15,31,20,23,26,39
AT1G67090,16,32,35,19,27,30
AT1G55490,17,32,33,26,20,25
AT5G03340,13,32,30,22,29,29
AT3G12110,24,32,30,24,23,25
AT2G41840,12,32,26,22,24,32
AT3G13920,19,32,24,21,18,23
AT5G63110,8,32,18,21,30,31
AT3G52930,24,33,42,24,25,21
AT1G30230,7,33,33,22,18,28
AT1G75940,16,33,28,24,30,28
AT1G69830,14,33,26,27,19,28
AT1G09640,10,34,28,17,12,17
AT5G60390,30,35,32,31,26,30
AT1G07940,30,35,32,31,26,30
AT1G07930,30,35,32,31,26,30
AT1G07920,30,35,32,31,26,30
AT5G27850,22,35,20,25,25,34
AT3G45140,25,36,53,36,31,38
AT3G09880,26,36,28,27,20,15
AT2G36530,16,36,25,26,27,30
AT5G28540,39,37,46,46,51,56
AT3G09840,14,37,37,27,33,35
AT5G25980,9,38,41,29,29,33
AT3G09200,12,38,23,26,27,35
AT5G60100,25,38,13,18,27,35
AT5G42020,39,39,44,42,49,53
AT3G20820,14,39,32,32,41,54
AT5G19780,24,40,34,28,26,38
AT5G19770,24,40,34,28,26,38
AT1G57720,19,41,38,31,19,19
AT3G09630,28,42,51,37,40,55
AT5G02870,27,42,47,37,41,53
AT3G29410,24,42,45,39,37,37
AT1G20620,19,42,44,36,34,39
AT3G18780,27,42,34,30,25,34
AT1G49240,27,42,34,30,25,34
AT3G44300,26,43,48,46,28,26
AT5G09810,28,43,38,26,31,36
AT3G03540,33,45,52,42,35,44
AT4G29270,19,45,42,36,25,27
AT1G20960,18,47,37,39,34,40
AT1G75780,20,48,45,31,31,34
AT4G14960,26,48,44,36,35,43
AT1G50010,25,49,43,38,37,46
AT1G04820,25,49,43,38,37,46
AT2G36880,17,49,39,36,27,37
AT1G64880,31,49,28,38,39,42
AT3G12580,33,52,45,54,74,70
AT2G39730,20,52,43,39,41,43
AT1G80070,21,53,47,42,45,46
AT5G51750,30,55,53,44,50,61
AT5G12250,28,56,52,39,32,34
AT5G26710,47,57,56,50,48,41
AT2G40660,31,57,40,45,47,46
AT5G02490,36,59,58,68,87,79
AT1G20010,29,60,52,37,33,45
AT1G43170,35,60,50,42,59,75
AT2G47610,42,60,47,44,38,38
AT4G16143,39,63,60,58,48,57
AT3G62870,44,63,49,48,37,40
AT1G71080,31,63,47,50,70,47
AT1G56070,26,65,67,44,60,58
AT2G29560,29,65,57,56,44,50
AT4G20890,24,67,58,42,44,55
AT5G44340,26,69,59,41,44,60
AT3G08530,33,70,53,53,61,61
AT5G26742,34,73,56,56,62,76
AT5G35200,41,73,56,64,30,31
AT1G09780,35,73,53,41,74,71
AT3G11130,34,75,53,52,61,63
AT1G61850,46,76,77,75,36,58
AT3G44320,39,78,80,66,36,32
AT5G23860,33,79,73,47,54,62
AT2G29550,33,79,72,49,56,62
AT3G09440,48,80,75,97,119,105
AT5G62700,34,90,81,53,65,73
AT5G62690,34,90,81,53,65,73
AT1G52570,49,90,80,70,62,82
AT5G24770,16,100,101,80,114,125
AT5G02500,57,105,94,112,143,135
AT1G48120,57,112,82,81,73,86
AT3G44690,75,113,66,93,77,81
AT2G17630,46,125,78,67,113,136
AT4G10320,49,127,108,85,96,92
ATCG00490,60,154,158,98,116,132
AT3G15730,95,167,169,140,126,149
AT5G24780,26,175,137,98,177,221
AT1G19480,103,234,185,173,223,265
AT4G35630,55,246,143,114,205,251
AT3G08590,103,312,216,174,248,296
AT3G44310,285,507,560,541,237,288
AT4G25500,459,1237,1077,1042,1141,1291
