Protein,WT,WT.1,AT1G43770,AT1G43770,AT4G11560,AT4G11560
AT3G11940,0,0,0,0,0,3
AT3G10220,0,0,0,0,0,2
AT3G05070,0,0,0,0,0,2
AT3G02560,0,0,0,0,0,2
AT3G01980,0,0,0,0,0,2
AT2G38270,0,0,0,0,0,2
AT2G37270,0,0,0,0,0,3
AT2G37020,0,0,0,0,0,2
AT2G34640,0,0,0,2,0,0
AT2G29570,0,0,0,0,0,2
AT2G29540,0,0,0,0,0,2
AT2G16950,0,0,0,0,0,2
AT2G16570,0,0,0,2,0,0
AT2G14170,0,0,0,3,0,0
AT2G02010,0,0,0,0,0,2
AT2G01520,0,0,0,2,0,0
AT1G69120,0,0,0,2,0,0
AT1G62380,0,0,0,0,0,2
AT1G61870,0,0,0,0,0,2
AT1G54100,0,0,0,0,0,2
AT1G51560,0,0,0,2,0,0
AT1G32490,0,0,0,0,0,2
AT1G31812,0,0,0,2,0,0
AT1G31730,0,0,0,0,0,2
AT1G17220,0,0,0,2,0,0
AT1G16740,0,0,0,0,0,2
AT1G09140,0,0,0,0,0,2
AT1G05720,0,0,0,0,0,3
AT1G05190,0,0,0,0,0,3
AT1G01080,0,0,0,0,0,2
AT3G14420,0,2,11,0,0,3
AT1G09340,2,2,9,4,2,4
AT5G55220,2,2,9,2,0,0
AT2G24200,0,2,8,0,5,5
AT3G03250,0,2,8,2,2,0
AT3G50820,0,2,8,2,0,0
AT1G79550,0,2,8,0,0,0
AT1G53310,0,2,8,0,0,2
AT2G47730,2,2,7,6,6,4
AT5G62300,0,2,7,2,5,4
AT3G45030,0,2,7,2,5,4
AT2G34420,4,2,7,0,4,2
AT1G29930,4,2,7,0,4,2
AT1G29920,4,2,7,0,4,2
AT1G29910,4,2,7,0,4,2
AT2G24940,3,2,7,5,2,0
AT2G29320,3,2,7,5,0,0
AT4G27090,4,2,6,6,7,12
AT5G27640,0,2,6,2,6,5
AT3G47370,0,2,6,0,4,3
AT2G16600,0,2,6,4,2,0
AT1G03475,0,2,6,0,2,0
AT1G08200,5,2,6,4,0,3
AT2G45640,0,2,6,0,0,2
AT2G38540,0,2,6,2,0,2
AT1G17745,0,2,6,2,0,0
AT2G39990,0,2,5,0,3,0
AT3G54470,2,2,5,4,2,4
AT5G48480,4,2,5,2,0,0
AT3G60240,2,2,5,2,0,0
AT5G55730,0,2,5,0,0,3
AT5G20950,0,2,5,0,0,0
AT4G04640,0,2,5,0,0,0
AT3G52140,0,2,5,2,0,0
AT3G17940,0,2,5,0,0,0
AT3G07100,0,2,5,0,0,2
AT2G37040,0,2,5,0,0,3
AT2G04842,0,2,5,0,0,0
AT4G30930,0,2,4,0,4,4
AT3G49680,3,2,4,3,3,4
AT5G09660,0,2,4,2,3,3
AT4G23680,0,2,4,2,2,2
AT1G12780,2,2,4,2,0,2
AT5G28840,0,2,4,0,0,2
AT4G36250,0,2,4,0,0,0
AT4G02290,0,2,4,2,0,0
AT3G63140,0,2,4,2,0,0
AT3G60830,0,2,4,4,0,2
AT3G19170,0,2,4,2,0,0
AT3G16830,0,2,4,3,0,0
AT2G41740,0,2,4,0,0,3
AT3G21110,0,2,3,0,6,6
AT4G35100,2,2,3,2,4,4
AT3G61110,2,2,3,3,4,4
AT2G45710,2,2,3,3,4,4
AT5G42100,0,2,3,0,4,0
AT5G27120,2,2,3,3,3,0
AT3G16650,2,2,3,4,3,2
AT1G68560,2,2,3,2,3,3
AT1G15730,0,2,3,0,3,2
AT1G06020,4,2,3,0,2,2
AT5G35680,2,2,3,2,2,0
AT4G36740,0,2,3,4,2,0
AT1G70320,0,2,3,2,2,3
AT1G53645,0,2,3,0,2,2
AT1G48830,0,2,3,0,2,4
AT4G08350,3,2,3,0,0,2
AT4G16500,2,2,3,2,0,0
AT3G51800,2,2,3,0,0,0
AT1G49760,2,2,3,2,0,0
AT5G49650,0,2,3,0,0,0
AT5G43060,0,2,3,0,0,0
AT5G28500,0,2,3,0,0,0
AT5G22330,0,2,3,0,0,0
AT5G19370,0,2,3,2,0,0
AT5G01600,0,2,3,0,0,0
AT2G36870,0,2,3,0,0,5
AT2G29310,0,2,3,2,0,2
AT2G18170,0,2,3,3,0,0
AT2G05830,0,2,3,0,0,0
AT1G48050,0,2,3,0,0,0
AT4G30330,0,2,2,2,3,3
AT4G02840,0,2,2,0,3,5
AT2G47990,0,2,2,0,3,5
AT1G25490,0,2,2,0,3,2
AT1G19520,6,2,2,2,2,3
ATMG00560,2,2,2,2,2,3
AT5G41770,2,2,2,2,2,5
AT5G09880,3,2,2,0,0,0
AT1G18070,3,2,2,0,0,3
AT1G73600,2,2,2,2,0,0
AT1G29370,2,2,2,2,0,0
AT1G29350,2,2,2,2,0,0
AT5G05010,0,2,2,0,0,0
AT4G01290,0,2,2,0,0,0
AT3G60300,0,2,2,6,0,4
AT2G43550,0,2,2,2,0,0
AT2G43530,0,2,2,2,0,0
AT2G35840,0,2,2,0,0,2
AT2G31750,0,2,2,0,0,0
AT2G26210,0,2,2,0,0,0
AT2G25970,0,2,2,0,0,0
AT1G74850,0,2,2,0,0,0
AT1G72970,0,2,2,0,0,0
AT1G20330,0,2,2,0,0,0
AT1G09010,0,2,2,0,0,2
AT5G59870,0,2,0,0,4,4
AT4G02770,0,2,0,0,4,2
AT1G03130,0,2,0,0,4,2
AT3G58140,3,2,0,3,3,0
AT3G44850,2,2,0,2,3,0
AT3G13200,0,2,0,3,3,2
AT1G10620,0,2,0,2,3,0
AT5G40040,3,2,0,0,2,3
AT1G16870,2,2,0,0,2,3
AT5G46070,0,2,0,0,2,2
AT3G16780,0,2,0,2,2,2
AT3G06610,0,2,0,0,2,0
AT2G19490,0,2,0,2,2,2
AT5G64200,4,2,0,0,0,0
AT5G02610,3,2,0,3,0,0
AT4G31180,3,2,0,2,0,0
AT5G56350,2,2,0,2,0,3
AT1G43690,2,2,0,0,0,0
ATMG00080,0,2,0,0,0,2
ATCG00740,0,2,0,0,0,0
AT5G64250,0,2,0,0,0,4
AT5G56950,0,2,0,0,0,0
AT5G46630,0,2,0,0,0,0
AT5G44710,0,2,0,2,0,0
AT5G43900,0,2,0,0,0,2
AT5G36210,0,2,0,0,0,0
AT5G19150,0,2,0,0,0,0
AT5G13780,0,2,0,0,0,0
AT5G13310,0,2,0,0,0,0
AT5G12940,0,2,0,0,0,3
AT5G11490,0,2,0,0,0,0
AT5G05980,0,2,0,0,0,0
AT5G05920,0,2,0,2,0,0
AT5G05620,0,2,0,0,0,0
AT4G32551,0,2,0,0,0,0
AT4G31840,0,2,0,0,0,0
AT4G29670,0,2,0,0,0,0
AT4G28706,0,2,0,0,0,0
AT4G28090,0,2,0,0,0,0
AT4G11175,0,2,0,0,0,0
AT4G08900,0,2,0,3,0,0
AT4G04920,0,2,0,0,0,0
AT3G61650,0,2,0,0,0,0
AT3G60370,0,2,0,0,0,0
AT3G60190,0,2,0,0,0,3
AT3G57870,0,2,0,0,0,0
AT3G57520,0,2,0,0,0,2
AT3G55605,0,2,0,0,0,0
AT3G52640,0,2,0,0,0,0
AT3G50500,0,2,0,0,0,0
AT3G48170,0,2,0,0,0,0
AT3G14120,0,2,0,0,0,0
AT3G12270,0,2,0,0,0,0
AT3G12170,0,2,0,0,0,0
AT3G06980,0,2,0,0,0,0
AT3G06350,0,2,0,0,0,0
AT2G41790,0,2,0,0,0,0
AT2G35390,0,2,0,0,0,0
AT2G35020,0,2,0,0,0,2
AT2G34470,0,2,0,2,0,0
AT2G30620,0,2,0,0,0,0
AT2G22400,0,2,0,0,0,0
AT2G22125,0,2,0,0,0,0
AT1G77750,0,2,0,0,0,0
AT1G76850,0,2,0,0,0,0
AT1G73180,0,2,0,0,0,0
AT1G72550,0,2,0,0,0,0
AT1G65260,0,2,0,0,0,0
AT1G63810,0,2,0,0,0,0
AT1G60780,0,2,0,0,0,0
AT1G59760,0,2,0,0,0,0
AT1G49670,0,2,0,0,0,0
AT1G31070,0,2,0,0,0,2
AT1G30680,0,2,0,0,0,0
AT1G30530,0,2,0,0,0,0
AT1G21630,0,2,0,0,0,3
AT1G18490,0,2,0,0,0,0
AT1G14830,0,2,0,0,0,3
AT1G12470,0,2,0,0,0,0
AT1G09830,0,2,0,0,0,0
AT1G06760,0,2,0,2,0,3
AT5G20720,3,3,14,4,0,2
AT5G14740,6,3,13,3,6,4
AT4G37930,0,3,12,0,0,2
AT1G79690,5,3,11,4,4,8
AT4G31990,0,3,10,0,3,4
AT3G14990,0,3,10,3,2,5
AT1G73230,3,3,9,4,2,2
AT3G02930,7,3,8,7,3,2
AT1G02050,2,3,8,2,0,5
AT4G27440,0,3,8,4,0,3
AT4G22240,0,3,8,3,0,5
AT4G20050,0,3,8,0,0,0
AT5G55070,4,3,7,5,5,7
AT5G45620,3,3,7,2,2,0
AT4G11820,3,3,7,5,2,2
AT3G12490,3,3,7,6,2,0
AT3G58500,3,3,6,4,3,5
AT2G42500,3,3,6,4,3,5
AT4G26910,2,3,6,5,3,3
AT3G02110,2,3,6,3,3,2
AT1G59610,0,3,6,4,3,5
AT4G34870,2,3,6,2,2,3
AT5G23940,0,3,6,0,2,0
AT1G29880,0,3,6,0,2,3
AT1G12050,4,3,5,4,4,4
AT3G28900,2,3,5,4,4,7
AT4G29510,2,3,5,4,2,3
AT3G56150,0,3,5,4,2,4
AT3G06860,0,3,5,0,2,2
AT3G04260,0,3,5,0,2,4
AT2G16940,5,3,5,0,0,0
AT5G02240,2,3,5,0,0,0
AT2G43090,2,3,5,5,0,2
AT5G54770,0,3,5,0,0,3
AT4G19006,0,3,5,2,0,0
AT4G17830,0,3,5,0,0,0
AT3G57290,0,3,5,3,0,2
AT3G54050,0,3,5,0,0,0
AT2G30860,0,3,5,0,0,0
AT1G80460,0,3,5,0,0,0
AT1G23820,0,3,5,3,0,0
AT5G22880,0,3,4,2,11,6
AT1G07790,0,3,4,2,11,6
AT2G28720,0,3,4,2,10,5
AT4G02230,2,3,4,2,5,3
AT1G02813,3,3,4,0,4,3
AT3G46040,0,3,4,0,4,2
