Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT2G20580,0,0,0,0,0,0,0,0,0,10,1,0
AT5G49910,0,0,0,0,0,0,0,0,1,9,1,0
AT5G08690,0,0,0,1405800,1258600,0,0,0,0,8,1,0
AT1G57720,0,0,10250000,6421300,0,0,0,0,6,6,1,0
AT1G20010,0,0,0,0,0,0,0,0,0,6,1,0
AT5G48880,0,0,0,0,0,0,0,0,2,4,1,0
AT2G38040,0,0,0,0,0,0,0,0,0,4,1,0
AT5G20720,0,0,0,0,0,0,0,0,0,4,1,2
AT3G47650,0,0,0,4800200,2564400,3753000,0,0,0,4,1,3
AT5G15200,0,0,0,0,0,0,0,0,2,3,1,0
AT1G48600,0,0,0,0,0,0,0,0,1,3,1,0
AT3G45140,0,0,0,0,0,0,0,0,1,3,1,0
AT3G63140,0,0,0,0,0,0,0,0,1,3,1,0
AT1G08360,0,0,0,0,0,0,0,0,1,3,1,1
AT1G59900,0,0,0,0,0,0,0,0,0,3,1,0
AT1G76030,0,0,0,0,0,0,0,0,0,3,1,0
AT2G40490,0,0,0,0,0,0,0,0,0,3,1,0
AT4G37930,0,0,0,0,0,0,0,0,0,3,1,0
AT1G22300,0,0,0,0,0,0,0,0,0,3,1,1
AT3G16470,0,0,0,0,0,0,0,0,0,3,1,1
AT1G75270,0,0,0,0,0,0,0,0,1,2,1,0
AT5G58330,0,0,0,0,0,0,0,0,1,2,1,0
AT3G12110,0,0,0,0,0,0,0,0,1,2,1,1
AT4G13430,0,0,0,0,0,0,0,0,1,2,1,1
AT1G65980,0,0,0,0,0,0,0,0,0,2,1,0
AT1G72370,0,0,0,0,0,0,0,0,0,2,1,0
AT2G27040,0,0,0,0,0,0,0,0,0,2,1,0
AT2G38270,0,0,0,0,0,0,0,0,0,2,1,0
AT2G39800,0,0,0,0,0,0,0,0,0,2,1,0
AT3G04790,0,0,0,0,0,0,0,0,0,2,1,0
AT3G12490,0,0,0,0,0,0,0,0,0,2,1,0
AT3G18060,0,0,0,0,0,0,0,0,0,2,1,0
AT3G58500,0,0,0,0,0,0,0,0,0,2,1,0
AT3G62120,0,0,0,0,0,0,0,0,0,2,1,0
AT5G57655,0,0,0,0,0,0,0,0,0,2,1,0
AT3G12145,0,0,0,0,0,0,0,0,0,2,1,1
AT3G53750,0,0,0,0,0,0,0,0,0,2,1,1
AT3G26450,0,0,0,0,0,0,0,0,0,2,1,3
AT1G64880,0,0,0,0,0,0,0,0,4,1,1,1
AT1G23740,0,0,0,0,0,0,0,0,2,1,1,0
AT1G78630,0,0,0,0,0,0,0,0,2,1,1,0
AT1G01100,0,0,14221000,0,9696000,0,0,0,2,1,1,2
AT1G02500,0,0,0,0,0,0,0,0,1,1,1,0
AT1G32990,0,0,0,0,0,0,0,0,1,1,1,0
AT1G52030,0,0,0,0,0,0,0,0,1,1,1,0
AT2G29300,0,0,0,0,0,0,0,0,1,1,1,0
AT2G42910,0,0,0,0,0,0,0,0,1,1,1,0
AT3G06720,0,0,0,0,0,0,0,0,1,1,1,0
AT3G48420,0,0,0,0,0,0,0,0,1,1,1,0
AT5G11480,0,0,0,0,0,0,0,0,1,1,1,0
AT5G19440,0,0,0,0,0,0,0,0,1,1,1,0
AT1G76010,0,0,0,0,0,0,0,0,0,1,1,0
AT2G21170,0,0,0,0,0,0,0,0,0,1,1,0
