Protein,WT,WT,AT1G17770,AT1G177701
AT3G04400,2,0,4,0
AT3G54670,2,0,4,0
AT4G16720,2,3,4,0
AT4G17390,2,3,4,0
AT5G26742,2,0,4,0
AT3G22960,2,3,3,6
AT1G19550,2,4,3,5
AT1G24020,2,3,3,5
AT5G02790,2,4,3,5
AT1G69740,2,2,3,4
AT3G16830,2,3,3,3
AT1G06020,2,2,3,2
AT1G06680,2,3,3,2
AT1G30620,2,2,3,2
AT2G31390,2,2,3,2
AT3G22230,2,2,3,2
AT4G20460,2,2,3,2
AT1G15930,2,3,3,0
AT1G22410,2,0,3,0
AT1G58380,2,2,3,0
AT1G58684,2,2,3,0
AT1G58983,2,2,3,0
AT1G59359,2,2,3,0
AT2G27720,2,0,3,0
AT2G34730,2,3,3,0
AT3G04920,2,0,3,0
AT3G05560,2,0,3,0
AT3G06810,2,2,3,0
AT3G12800,2,0,3,0
AT3G49010,2,0,3,0
AT4G10340,2,2,3,0
AT5G10770,2,0,3,0
AT5G27770,2,0,3,0
AT5G35530,2,2,3,0
AT5G66030,2,0,3,0
AT4G34200,2,0,2,6
AT3G43190,2,2,2,4
AT1G11840,2,3,2,3
AT1G79550,2,0,2,3
AT2G37040,2,3,2,3
AT3G04770,2,3,2,3
AT3G20210,2,3,2,3
AT3G22860,2,0,2,3
AT3G56240,2,2,2,3
AT1G06030,2,0,2,2
AT1G10670,2,2,2,2
AT1G36240,2,2,2,2
AT1G60970,2,2,2,2
AT1G62820,2,2,2,2
AT1G77940,2,2,2,2
AT2G04520,2,2,2,2
AT2G30050,2,0,2,2
AT2G31570,2,3,2,2
AT2G34850,2,2,2,2
AT3G09200,2,2,2,2
AT3G12490,2,2,2,2
AT3G18740,2,2,2,2
AT3G52140,2,0,2,2
AT3G53460,2,2,2,2
AT3G58610,2,3,2,2
AT4G12890,2,2,2,2
AT4G15210,2,0,2,2
AT4G39090,2,0,2,2
AT5G35680,2,2,2,2
AT5G48375,2,2,2,2
ATCG00740,2,0,2,2
AT1G12000,2,0,2,0
AT1G60710,2,0,2,0
AT2G01140,2,2,2,0
AT2G32060,2,2,2,0
AT2G32920,2,2,2,0
AT2G33800,2,3,2,0
AT2G42740,2,2,2,0
AT2G43750,2,0,2,0
AT2G44060,2,2,2,0
AT3G06050,2,2,2,0
AT3G18130,2,3,2,0
AT3G47470,2,0,2,0
AT3G57490,2,2,2,0
AT3G58700,2,2,2,0
AT4G11380,2,3,2,0
AT4G18730,2,2,2,0
AT4G23460,2,2,2,0
AT4G26630,2,0,2,0
AT5G14910,2,2,2,0
AT5G16390,2,2,2,0
AT5G40290,2,3,2,0
AT5G45775,2,2,2,0
AT5G58230,2,0,2,0
AT3G04470,2,0,0,4
AT2G28290,2,3,0,3
AT3G01390,2,2,0,3
AT3G04790,2,0,0,3
AT1G72000,2,0,0,2
AT1G75230,2,0,0,2
AT2G42590,2,0,0,2
AT3G04600,2,0,0,2
AT3G08770,2,2,0,2
AT3G09810,2,0,0,2
AT3G17020,2,0,0,2
AT3G27610,2,0,0,2
AT3G52990,2,0,0,2
AT3G60370,2,0,0,2
AT4G11060,2,0,0,2
AT4G15802,2,2,0,2
AT4G16340,2,3,0,2
AT4G29830,2,0,0,2
AT5G60140,2,2,0,2
AT1G04530,2,0,0,0
AT1G26110,2,0,0,0
AT1G56580,2,2,0,0
AT2G36580,2,0,0,0
AT2G47960,2,0,0,0
AT3G04520,2,3,0,0
AT3G06580,2,0,0,0
AT3G14520,2,0,0,0
AT3G15190,2,0,0,0
AT3G24080,2,0,0,0
AT3G24510,2,0,0,0
AT3G49601,2,0,0,0
AT3G53260,2,2,0,0
AT3G57610,2,0,0,0
AT4G21860,2,0,0,0
AT4G24550,2,0,0,0
AT5G09660,2,0,0,0
AT5G12140,2,0,0,0
AT5G15530,2,2,0,0
AT5G25370,2,0,0,0
AT5G37720,2,0,0,0
AT5G46290,2,0,0,0
AT5G47770,2,0,0,0
AT5G50750,2,2,0,0
AT5G54440,2,0,0,0
AT5G58710,2,0,0,0
AT5G59880,2,0,0,0
AT5G60100,2,7,0,0
AT5G64350,2,0,0,0
AT3G44110,3,5,9,4
AT5G52640,3,2,9,3
AT2G13360,3,4,7,6
AT4G23920,3,4,7,4
AT4G31300,3,4,7,4
AT2G36160,3,2,7,0
AT3G52580,3,2,7,0
AT2G47470,3,4,6,6
AT4G21100,3,5,6,5
AT1G12470,3,2,6,3
AT5G11520,3,2,6,3
AT5G44320,3,3,6,3
AT1G19570,3,6,5,7
AT3G14210,3,4,5,4
AT1G04690,3,6,5,2
AT1G10630,3,4,5,2
AT1G23490,3,4,5,2
AT1G70490,3,4,5,2
AT1G79930,3,2,5,2
AT2G47170,3,4,5,2
AT3G62290,3,4,5,2
AT5G14670,3,4,5,2
AT5G56290,3,5,5,0
AT1G09310,3,5,4,5
AT3G14415,3,2,4,5
AT5G38480,3,3,4,5
AT3G47070,3,3,4,4
AT4G10480,3,0,4,4
AT5G10450,3,2,4,4
AT1G12780,3,3,4,3
AT1G53240,3,3,4,3
AT1G56340,3,4,4,3
AT1G65010,3,0,4,3
AT3G06720,3,4,4,3
AT3G15020,3,3,4,3
AT3G15880,3,3,4,3
AT5G20020,3,2,4,3
