Protein,WT,WT,AT3G44750,AT3G44750,AT5G22650,AT5G22650
AT3G61440,1,0,0,0,0,1
AT3G47370,1,0,0,0,2,1
AT3G45030,1,0,0,0,3,1
AT3G07230,1,0,0,0,1,1
AT2G43030,1,0,0,0,1,1
AT2G28680,1,0,0,0,0,1
AT2G22795,1,0,0,0,0,1
AT2G19740,1,0,0,0,1,1
AT1G56660,1,0,0,0,1,1
AT1G31970,1,0,0,0,0,1
AT1G30490,1,0,0,0,0,1
AT1G05190,1,0,0,0,1,1
AT4G12790,0,0,0,3,1,0
AT2G32240,0,0,0,3,0,0
AT5G26570,1,0,0,3,0,0
AT5G62270,0,0,0,2,0,0
AT5G04360,0,0,0,2,0,0
AT3G46460,0,0,0,2,0,0
AT3G23980,0,0,0,2,0,0
AT1G15480,0,0,0,2,2,0
AT1G15290,0,0,0,2,1,0
AT4G27560,2,0,0,2,1,0
ATCG01310,0,0,0,1,1,0
ATCG00830,0,0,0,1,1,0
ATCG00190,0,0,0,1,0,0
AT5G65160,0,0,0,1,0,0
AT5G64050,0,0,0,1,0,0
AT5G63420,0,0,0,1,0,0
AT5G60220,0,0,0,1,0,0
AT5G58240,0,0,0,1,0,0
AT5G55660,0,0,0,1,0,0
AT5G53440,0,0,0,1,0,0
AT5G51990,0,0,0,1,0,0
AT5G49360,0,0,0,1,0,0
AT5G48760,0,0,0,1,0,0
AT5G45050,0,0,0,1,0,0
AT5G40570,0,0,0,1,1,0
AT5G38880,0,0,0,1,1,0
AT5G37510,0,0,0,1,0,0
AT5G37130,0,0,0,1,0,0
AT5G25460,0,0,0,1,0,0
AT5G19420,0,0,0,1,0,0
AT5G18550,0,0,0,1,0,0
AT5G17270,0,0,0,1,0,0
AT5G15581,0,0,0,1,1,0
AT5G14580,0,0,0,1,0,0
AT5G14030,0,0,0,1,1,0
AT5G13630,0,0,0,1,0,0
AT5G12350,0,0,0,1,0,0
AT5G11420,0,0,0,1,0,0
AT5G10810,0,0,0,1,0,0
AT5G09730,0,0,0,1,0,0
AT5G09550,0,0,0,1,0,0
AT5G06360,0,0,0,1,0,0
AT5G05700,0,0,0,1,0,0
AT5G03150,0,0,0,1,0,0
AT5G02610,0,0,0,1,0,0
AT5G02570,0,0,0,1,0,0
AT4G39120,0,0,0,1,0,0
AT4G39050,0,0,0,1,1,0
AT4G38350,0,0,0,1,0,0
AT4G36800,0,0,0,1,0,0
AT4G33390,0,0,0,1,0,0
AT4G33220,0,0,0,1,0,0
AT4G29150,0,0,0,1,0,0
AT4G27450,0,0,0,1,0,0
AT4G20450,0,0,0,1,0,0
AT4G19890,0,0,0,1,0,0
AT4G18600,0,0,0,1,1,0
AT4G15320,0,0,0,1,0,0
AT4G15020,0,0,0,1,0,0
AT4G14900,0,0,0,1,0,0
AT4G02080,0,0,0,1,0,0
AT4G01240,0,0,0,1,0,0
AT4G00800,0,0,0,1,1,0
AT3G62560,0,0,0,1,0,0
AT3G59290,0,0,0,1,0,0
AT3G43270,0,0,0,1,0,0
AT3G24830,0,0,0,1,0,0
AT3G24800,0,0,0,1,0,0
AT3G23060,0,0,0,1,0,0
AT3G22440,0,0,0,1,0,0
AT3G20740,0,0,0,1,0,0
AT3G18860,0,0,0,1,0,0
AT3G18290,0,0,0,1,0,0
AT3G17710,0,0,0,1,0,0
AT3G14950,0,0,0,1,0,0
AT3G12280,0,0,0,1,0,0
AT3G11964,0,0,0,1,0,0
AT3G09480,0,0,0,1,0,0
AT3G07110,0,0,0,1,0,0
AT3G07050,0,0,0,1,0,0
AT2G47240,0,0,0,1,0,0
AT2G47090,0,0,0,1,0,0
AT2G44100,0,0,0,1,0,0
AT2G43620,0,0,0,1,0,0
AT2G41470,0,0,0,1,0,0
AT2G39260,0,0,0,1,1,0
AT2G37470,0,0,0,1,0,0
AT2G37100,0,0,0,1,0,0
AT2G36650,0,0,0,1,0,0
AT2G35830,0,0,0,1,0,0
AT2G35810,0,0,0,1,0,0
AT2G35610,0,0,0,1,0,0
AT2G34300,0,0,0,1,0,0
AT2G30660,0,0,0,1,0,0
AT2G29630,0,0,0,1,0,0
AT2G29450,0,0,0,1,0,0
AT2G29440,0,0,0,1,0,0
AT2G25900,0,0,0,1,0,0
AT2G25840,0,0,0,1,0,0
AT2G23520,0,0,0,1,0,0
AT2G22360,0,0,0,1,0,0
AT2G21380,0,0,0,1,0,0
AT2G20270,0,0,0,1,0,0
AT2G19810,0,0,0,1,0,0
AT2G18460,0,0,0,1,1,0
AT2G04700,0,0,0,1,0,0
AT2G04650,0,0,0,1,0,0
AT1G77550,0,0,0,1,0,0
AT1G77020,0,0,0,1,0,0
AT1G75460,0,0,0,1,0,0
AT1G74910,0,0,0,1,1,0
AT1G70150,0,0,0,1,0,0
AT1G69900,0,0,0,1,0,0
AT1G69200,0,0,0,1,0,0
AT1G62480,0,0,0,1,0,0
AT1G56330,0,0,0,1,0,0
AT1G51440,0,0,0,1,0,0
AT1G50410,0,0,0,1,0,0
AT1G49670,0,0,0,1,0,0
AT1G48760,0,0,0,1,0,0
AT1G47265,0,0,0,1,0,0
AT1G33590,0,0,0,1,1,0
AT1G28530,0,0,0,1,0,0
AT1G19740,0,0,0,1,0,0
AT1G17590,0,0,0,1,0,0
AT1G15940,0,0,0,1,0,0
AT1G10490,0,0,0,1,1,0
AT1G10200,0,0,0,1,0,0
AT1G10170,0,0,0,1,0,0
AT1G09180,0,0,0,1,0,0
AT1G06670,0,0,0,1,0,0
AT1G04950,0,0,0,1,0,0
AT5G53310,1,0,0,1,0,0
AT5G45480,1,0,0,1,0,0
AT5G37650,1,0,0,1,0,0
AT5G37470,1,0,0,1,0,0
AT5G20250,1,0,0,1,0,0
AT5G13440,1,0,0,1,1,0
AT5G13430,1,0,0,1,1,0
AT5G07920,1,0,0,1,0,0
AT5G07830,1,0,0,1,0,0
AT4G35410,1,0,0,1,1,0
AT4G21270,1,0,0,1,0,0
AT4G11911,1,0,0,1,0,0
AT4G10260,1,0,0,1,0,0
AT3G14040,1,0,0,1,0,0
AT3G10940,1,0,0,1,0,0
AT3G07850,1,0,0,1,0,0
AT3G02950,1,0,0,1,0,0
AT3G02660,1,0,0,1,0,0
AT2G42840,1,0,0,1,0,0
AT2G32720,1,0,0,1,1,0
AT2G26920,1,0,0,1,0,0
AT2G17380,1,0,0,1,1,0
AT1G80910,1,0,0,1,0,0
AT1G51680,1,0,0,1,0,0
AT1G21065,1,0,0,1,1,0
AT1G17650,1,0,0,1,0,0
AT1G10620,1,0,0,1,0,0
AT2G05830,2,0,0,1,0,0
AT1G71770,2,0,0,1,0,0
AT1G64980,2,0,0,1,0,0
AT1G51690,2,0,0,1,0,0
AT1G19870,2,0,0,1,1,0
ATCG00790,0,0,0,0,1,0
AT5G61605,0,0,0,0,1,0
AT5G59100,0,0,0,0,1,0
AT5G58005,0,0,0,0,1,0
AT5G57990,0,0,0,0,1,0
AT5G56130,0,0,0,0,1,0
AT5G54640,0,0,0,0,1,0
AT5G54300,0,0,0,0,1,0
AT5G53800,0,0,0,0,1,0
AT5G52910,0,0,0,0,1,0
AT5G52340,0,0,0,0,1,0
AT5G49400,0,0,0,0,2,0
AT5G44760,0,0,0,0,1,0
AT5G38490,0,0,0,0,1,0
AT5G24490,0,0,0,0,1,0
AT5G18860,0,0,0,0,1,0
AT5G18525,0,0,0,0,1,0
AT5G18180,0,0,0,0,1,0
AT5G17910,0,0,0,0,1,0
AT5G15400,0,0,0,0,1,0
AT5G13820,0,0,0,0,1,0
AT5G08720,0,0,0,0,1,0
AT5G08540,0,0,0,0,1,0
AT4G38830,0,0,0,0,1,0
AT4G35070,0,0,0,0,1,0
AT4G34070,0,0,0,0,1,0
AT4G31985,0,0,0,0,3,0
AT4G31340,0,0,0,0,2,0
AT4G27745,0,0,0,0,1,0
AT4G27230,0,0,0,0,1,0
AT4G26660,0,0,0,0,1,0
AT4G23320,0,0,0,0,1,0
AT4G23290,0,0,0,0,1,0
AT4G22140,0,0,0,0,1,0
AT4G20900,0,0,0,0,1,0
AT4G20260,0,0,0,0,1,0
AT4G19190,0,0,0,0,2,0
AT4G04770,0,0,0,0,2,0
AT3G63400,0,0,0,0,2,0
AT3G62060,0,0,0,0,1,0
AT3G60520,0,0,0,0,1,0
AT3G57940,0,0,0,0,1,0
AT3G57620,0,0,0,0,1,0
AT3G57110,0,0,0,0,1,0
AT3G55620,0,0,0,0,1,0
AT3G54310,0,0,0,0,1,0
AT3G54210,0,0,0,0,3,0
AT3G53700,0,0,0,0,1,0
AT3G52500,0,0,0,0,1,0
AT3G52230,0,0,0,0,1,0
AT3G51880,0,0,0,0,1,0
AT3G51330,0,0,0,0,2,0
AT3G51270,0,0,0,0,1,0
AT3G49990,0,0,0,0,1,0
AT3G49790,0,0,0,0,1,0
AT3G48500,0,0,0,0,1,0
AT3G48310,0,0,0,0,1,0
AT3G48150,0,0,0,0,1,0
AT3G47390,0,0,0,0,1,0
AT3G44785,0,0,0,0,1,0
AT3G26890,0,0,0,0,1,0
AT3G23740,0,0,0,0,1,0
AT3G23670,0,0,0,0,1,0
AT3G20670,0,0,0,0,1,0
AT3G17840,0,0,0,0,1,0
AT3G15690,0,0,0,0,1,0
AT3G14075,0,0,0,0,1,0
AT3G13990,0,0,0,0,1,0
AT3G05750,0,0,0,0,3,0
AT2G47340,0,0,0,0,1,0
AT2G45380,0,0,0,0,1,0
AT2G43520,0,0,0,0,1,0
AT2G37260,0,0,0,0,1,0
AT2G33450,0,0,0,0,1,0
AT2G31650,0,0,0,0,1,0
AT2G29370,0,0,0,0,1,0
AT2G29360,0,0,0,0,1,0
AT2G29350,0,0,0,0,1,0
AT2G28830,0,0,0,0,1,0
AT2G27980,0,0,0,0,1,0
AT2G26460,0,0,0,0,1,0
AT2G25210,0,0,0,0,3,0
AT2G24650,0,0,0,0,1,0
AT2G23300,0,0,0,0,1,0
AT2G21300,0,0,0,0,1,0
AT2G20490,0,0,0,0,1,0
AT2G17410,0,0,0,0,1,0
AT2G15325,0,0,0,0,1,0
AT1G80780,0,0,0,0,1,0
AT1G79250,0,0,0,0,1,0
AT1G74930,0,0,0,0,1,0
AT1G71710,0,0,0,0,1,0
AT1G68750,0,0,0,0,1,0
AT1G67020,0,0,0,0,1,0
AT1G66280,0,0,0,0,2,0
AT1G64350,0,0,0,0,1,0
AT1G60850,0,0,0,0,1,0
AT1G55650,0,0,0,0,1,0
AT1G54690,0,0,0,0,1,0
AT1G51060,0,0,0,0,1,0
AT1G50240,0,0,0,0,1,0
AT1G31120,0,0,0,0,1,0
AT1G30460,0,0,0,0,1,0
AT1G27430,0,0,0,0,1,0
AT1G23170,0,0,0,0,1,0
AT1G22770,0,0,0,0,1,0
AT1G21690,0,0,0,0,1,0
AT1G20550,0,0,0,0,1,0
AT1G15280,0,0,0,0,1,0
AT1G14800,0,0,0,0,1,0
AT1G08880,0,0,0,0,1,0
AT1G08300,0,0,0,0,1,0
AT1G07740,0,0,0,0,1,0
AT1G06280,0,0,0,0,1,0
AT1G04890,0,0,0,0,1,0
AT1G04020,0,0,0,0,1,0
AT1G01620,0,0,0,0,1,0
ATCG00660,1,0,0,0,0,0
AT5G66900,1,0,0,0,0,0
AT5G65700,1,0,0,0,0,0
AT5G64460,1,0,0,0,0,0
AT5G58710,1,0,0,0,0,0
AT5G52280,1,0,0,0,0,0
AT5G47140,1,0,0,0,0,0
AT5G46790,1,0,0,0,0,0
AT5G43530,1,0,0,0,0,0
AT5G42720,1,0,0,0,0,0
AT5G40760,1,0,0,0,1,0
AT5G39740,1,0,0,0,3,0
