Protein,AT5G41580,AT5G41580,WT
AT5G66590,0,1,0
AT5G62190,0,1,0
AT5G61605,0,1,0
AT5G61060,0,1,0
AT5G58420,0,1,0
AT5G56670,0,1,0
AT5G54440,0,1,0
AT5G50340,0,1,0
AT5G47550,0,1,0
AT5G47030,0,1,0
AT5G45930,0,1,0
AT5G38600,0,1,0
AT5G24490,0,1,0
AT5G18190,0,1,0
AT5G16920,0,1,0
AT5G15550,0,1,0
AT5G14520,0,1,0
AT5G07830,0,1,0
AT5G07530,0,1,0
AT5G05270,0,1,0
AT5G02560,0,1,0
AT5G01530,0,1,0
AT4G39730,0,1,0
AT4G39080,0,1,0
AT4G32260,0,1,0
AT4G28395,0,1,0
AT4G28050,0,1,0
AT4G21660,0,1,0
AT4G21580,0,1,0
AT4G20960,0,1,0
AT4G19000,0,1,0
AT4G17870,0,1,0
AT4G09650,0,1,0
AT4G02730,0,1,0
AT3G63400,0,1,0
AT3G61980,0,1,0
AT3G60370,0,1,0
AT3G59600,0,1,0
AT3G54760,0,1,0
AT3G53650,0,1,0
AT3G52230,0,1,0
AT3G50660,0,1,0
AT3G27325,0,1,0
AT3G24503,0,1,0
AT3G21200,0,1,0
AT3G19820,0,1,0
AT3G07660,0,1,0
AT3G06610,0,1,0
AT3G03950,0,1,0
AT3G02180,0,1,0
AT2G47970,0,1,0
AT2G36830,0,1,0
AT2G35490,0,1,0
AT2G29300,0,1,0
AT2G27860,0,1,0
AT2G27810,0,1,0
AT2G24200,0,1,0
AT2G21580,0,1,0
AT2G20490,0,1,0
AT2G17280,0,1,0
AT2G05070,0,1,0
AT1G80750,0,1,0
AT1G78150,0,1,0
AT1G73180,0,1,0
AT1G65650,0,1,0
AT1G65260,0,1,0
AT1G64740,0,1,0
AT1G63020,0,1,0
AT1G32490,0,1,0
AT1G32230,0,1,0
AT1G26480,0,1,0
AT1G21380,0,1,0
AT1G20140,0,1,0
AT1G11750,0,1,0
AT1G03220,0,1,0
AT5G61070,0,0,0
AT5G47760,0,0,0
AT5G45580,0,0,0
AT5G20500,0,0,0
AT5G13770,0,0,0
AT5G09850,0,0,0
AT5G03320,0,0,0
AT4G31690,0,0,0
AT4G28530,0,0,0
AT4G18960,0,0,0
AT4G13780,0,0,0
AT4G11180,0,0,0
AT3G60950,0,0,0
AT3G58440,0,0,0
AT3G26220,0,0,0
AT3G20130,0,0,0
AT2G43990,0,0,0
AT2G35890,0,0,0
AT2G20340,0,0,0
AT2G06210,0,0,0
AT1G70320,0,0,0
AT1G61080,0,0,0
AT1G48760,0,0,0
AT1G06670,0,0,0
AT4G08950,10,7,1
AT4G27090,8,9,1
AT5G65360,8,5,1
AT3G12580,8,4,1
AT2G37690,7,4,1
AT4G02930,7,1,1
AT1G02813,6,8,1
AT4G37510,6,4,1
AT4G29510,6,3,1
AT3G21750,6,3,1
AT1G01050,6,1,1
