Protein,AT4G36290,WT
AT1G43170,11,0
AT4G16830,10,0
AT2G34480,5,0
AT2G21580,3,0
AT5G17310,13,0
AT2G20260,4,0
AT5G22880,4,0
AT3G07720,9,0
AT5G10300,7,0
AT5G44340,12,0
AT5G16400,5,0
AT1G01100,3,0
AT5G64350,3,0
AT4G13180,7,0
AT5G24770,7,0
AT2G02390,6,0
AT1G04270,4,0
AT3G06610,3,0
AT2G27710,3,0
AT5G02490,17,0
AT2G02130,2,0
AT1G33120,5,0
AT1G33140,5,0
AT2G37760,8,0
AT1G35720,8,0
AT2G19740,3,0
AT5G56710,3,0
AT4G26230,3,0
AT3G06050,5,0
AT3G56240,3,0
AT4G20890,11,0
AT3G15190,5,0
AT3G63140,10,0
AT3G17020,4,0
AT4G17390,5,0
AT4G16720,5,0
AT3G45030,3,0
AT3G47370,3,0
AT5G62300,3,0
AT5G27770,3,0
AT3G53430,4,0
AT1G74970,5,0
AT1G53580,7,0
AT1G18210,4,0
AT3G62870,6,0
AT1G02780,5,0
AT5G65220,4,0
AT2G27720,3,0
AT1G56190,11,0
AT4G34670,6,0
AT3G22560,4,0
AT2G23610,6,0
AT1G56410,14,0
AT4G14030,11,0
AT1G75780,10,0
AT5G12250,10,0
AT5G19770,10,0
AT5G19780,10,0
AT3G15730,18,0
AT3G09630,9,0
AT4G39730,4,0
AT1G54630,3,0
AT2G42740,4,0
AT3G58700,4,0
AT4G18730,4,0
AT5G45775,4,0
AT4G11150,5,0
AT2G19520,11,0
AT2G18110,5,0
AT2G44060,7,0
AT2G46280,7,0
AT1G04640,5,0
AT1G10200,4,0
AT1G15930,3,0
AT2G32060,3,0
AT2G04520,3,0
AT2G01250,5,0
AT1G61150,5,0
AT5G37850,7,0
AT2G32080,6,0
AT2G44120,5,0
AT5G43010,8,0
AT4G26840,2,0
AT3G49120,7,0
AT5G12140,2,0
AT3G44100,3,0
AT5G02870,8,0
AT1G47960,4,0
AT4G01610,7,0
AT2G47610,5,0
AT5G06450,4,0
ATCG01240,3,0
ATCG00900,3,0
AT1G78300,5,0
AT1G02930,4,0
AT1G20450,5,0
AT1G66200,7,0
AT5G23740,3,0
AT3G19990,8,0
AT3G48930,3,0
AT4G39200,2,0
AT2G27530,4,0
AT5G22440,4,0
AT1G08360,4,0
AT2G30060,4,0
AT5G18100,3,0
AT1G57860,3,0
AT1G57660,3,0
AT1G09690,3,0
AT1G09590,3,0
AT1G56700,4,0
AT5G10160,4,0
AT1G14320,4,0
AT1G74270,2,0
AT1G41880,2,0
AT3G55750,2,0
AT1G07070,2,0
AT3G18740,2,0
AT3G53740,2,0
AT4G01850,7,0
AT1G02500,7,0
AT5G14320,3,0
AT1G78830,8,0
AT2G31750,8,0
AT5G63310,4,0
AT5G55160,2,0
AT4G23100,9,0
AT2G05380,2,0
AT5G19220,9,0
AT5G58290,7,0
AT5G19140,4,0
AT1G27400,3,0
AT1G16470,4,0
AT1G79210,4,0
AT1G35160,5,0
AT3G12800,5,0
AT1G33590,8,0
AT3G47800,6,0
AT3G23570,4,0
AT4G17520,6,0
AT1G76080,5,0
AT4G00270,5,0
AT3G09500,2,0
AT2G43910,4,0
AT2G28790,4,0
AT3G20390,3,0
AT3G05590,3,0
AT5G27850,3,0
AT4G02860,5,0
AT2G43090,4,0
AT5G08100,5,0
AT4G02840,2,0
AT1G11910,8,0
AT3G02560,3,0
AT3G03780,12,0
AT1G19130,3,0
AT3G09200,5,0
AT2G33590,5,0
AT1G47420,4,0
AT2G23820,4,0
AT2G21620,3,0
AT1G71040,9,0
AT2G39780,4,0
AT4G14455,2,0
AT3G12145,5,0
AT2G01140,6,0
AT5G48180,5,0
AT4G01870,10,0
AT4G01900,3,0
AT2G43750,6,0
AT3G04840,4,0
AT1G06130,5,0
AT3G27690,4,0
AT2G05070,4,0
AT2G05100,4,0
AT4G18100,2,0
AT5G46430,2,0
AT3G52880,7,0
AT1G79550,6,0
AT5G23120,6,0
AT2G32090,2,0
AT4G15000,2,0
AT5G16990,5,0
AT5G14920,4,0
AT3G63190,4,0
AT3G49680,6,0
AT2G37270,3,0
AT3G11940,3,0
AT5G11680,3,0
AT3G54050,6,0
ATCG00500,7,0
AT5G56010,10,0
AT1G79040,2,0
AT2G33370,2,0
AT3G04400,2,0
AT1G04480,2,0
AT5G64130,2,0
AT3G10610,2,0
AT2G05220,2,0
AT5G04800,2,0
AT2G04390,2,0
AT3G25230,8,0
AT3G26740,2,0
AT2G14880,2,0
AT4G12880,2,0
AT1G08450,6,0
AT4G10480,3,0
AT1G48610,3,0
AT1G54690,2,0
AT1G08880,2,0
AT3G03950,6,0
AT5G17220,3,0
AT5G52040,5,0
AT3G02230,5,0
AT4G13400,5,0
AT4G28750,2,0
AT5G15650,5,0
AT1G23440,3,0
AT3G49470,3,0
AT5G50950,7,0
AT1G31330,3,0
AT5G10920,7,0
AT3G60820,3,0
AT5G39740,4,0
AT3G25520,4,0
AT2G19570,4,0
AT2G36580,7,0
AT5G20890,7,0
AT4G22930,5,0
AT1G79230,5,0
AT5G64260,4,0
AT3G10920,3,0
AT2G35410,4,0
AT1G11430,3,0
AT2G39850,10,0
AT5G57330,4,0
AT1G61580,5,0
AT1G05560,6,0
AT4G13850,2,0
AT5G61820,6,0
AT5G49650,7,0
AT3G53990,2,0
AT5G23140,3,0
AT3G55610,9,0
AT1G65980,2,0
AT3G48690,4,0
AT4G36195,6,0
AT3G55620,3,0
AT4G30160,12,0
AT1G14210,3,0
AT1G65650,4,0
AT4G27000,5,0
AT4G38130,6,0
AT1G70830,4,0
AT1G27090,5,0
AT5G56600,2,0
AT2G42910,4,0
AT1G14310,3,0
AT5G01600,3,0
AT3G28930,2,0
AT2G43770,4,0
AT3G58140,5,0
AT1G64880,6,0
AT4G34200,7,0
AT4G34215,3,0
AT5G48540,3,0
AT1G12780,4,0
AT2G38660,4,0
