Protein,WT,WT.1,AT5G04940
AT3G44110,3,0,8
AT5G43960,11,3,15
AT1G44910,6,0,3
AT3G02110,3,0,3
AT2G23390,3,0,7
AT2G43770,7,4,11
AT2G01140,4,2,4
AT1G60200,10,0,4
AT5G64270,4,0,5
AT5G23940,8,2,6
AT3G55120,7,0,5
AT5G17310,5,0,9
AT1G02840,5,0,6
AT3G42170,3,0,3
AT3G29410,2,0,10
AT5G02240,5,0,8
AT1G49240,5,0,7
AT5G43330,4,2,10
AT4G25130,7,2,7
AT3G18780,5,0,7
AT3G49910,3,2,7
AT5G12250,0,0,9
AT4G16720,3,2,4
AT3G08530,0,0,0
AT3G11130,0,0,0
AT2G16430,0,0,0
AT5G55660,7,0,7
AT1G20760,4,2,7
AT3G13920,6,3,7
AT1G18540,2,2,3
AT4G17390,3,2,4
AT2G21330,6,4,7
AT4G09510,8,0,9
AT1G20440,0,0,7
AT4G20980,8,0,10
AT3G58510,9,0,5
AT3G02360,5,2,3
AT4G38630,5,0,10
AT5G48810,4,0,4
AT3G59970,7,0,6
AT3G55800,6,2,7
AT4G34030,5,0,5
AT3G11510,4,3,2
AT2G41840,6,0,8
AT5G64370,6,0,7
AT3G27430,4,2,3
AT5G44320,8,0,9
AT5G22060,2,0,6
AT3G49601,3,0,7
AT1G56190,4,0,5
AT3G53180,6,0,8
AT1G66260,0,0,3
AT2G24940,3,2,7
AT2G32240,3,0,7
AT2G34810,2,0,3
AT1G32060,2,0,3
AT2G23350,2,0,9
AT5G42190,2,0,8
AT1G08200,3,0,8
AT3G22630,5,4,7
AT2G42500,0,0,6
AT1G79440,0,0,6
AT3G58500,0,0,6
AT4G02510,3,0,0
AT1G75280,4,0,7
AT5G43940,5,0,4
AT5G50920,0,0,5
AT3G12490,2,2,5
AT4G14960,6,8,15
AT5G19780,7,9,11
AT5G19770,7,9,11
AT1G11650,3,0,5
AT5G42080,0,0,0
AT1G03090,7,0,9
AT4G20890,5,3,9
AT4G35800,7,0,4
AT4G21710,5,0,3
AT5G42970,6,0,11
AT1G64790,7,0,0
AT3G46520,6,6,6
AT5G08690,6,3,11
AT5G59370,6,6,6
AT5G08670,6,3,11
AT1G13060,8,0,6
AT1G65440,10,0,4
AT5G08680,6,3,11
AT1G74470,4,0,2
AT4G39660,5,0,6
AT4G18040,8,0,5
