Protein,WT,AT3G52100,AT3G52100
AT2G30200,0,2,4
AT2G34470,0,2,4
AT2G34470,0,2,4
AT2G38730,0,2,4
AT2G39990,0,2,4
AT2G41500,0,2,4
AT2G42740,0,2,4
AT2G43360,0,2,4
AT3G08530,0,2,4
AT3G11130,0,2,4
AT3G14210,0,2,4
AT3G17170,0,2,4
AT3G45310,0,2,4
AT3G52560,0,2,4
AT3G53900,0,2,4
AT1G02150,0,0,4
AT1G15930,0,0,4
AT1G15930,0,0,4
AT1G17370,0,0,4
AT1G17370,0,0,4
AT1G23820,0,0,4
AT1G23820,0,0,4
AT1G30620,0,0,4
AT1G30620,0,0,4
AT1G30620,0,0,4
AT1G70820,0,0,4
AT2G05830,0,0,4
AT2G05830,0,0,4
AT2G05830,0,0,4
AT2G05830,0,0,4
AT2G17420,0,0,4
AT2G19070,0,0,4
AT2G24210,0,0,4
AT2G28760,0,0,4
AT2G28760,0,0,4
AT2G35635,2,0,4
AT2G38400,0,0,4
AT2G38400,0,0,4
AT2G40490,0,0,4
AT2G40510,0,0,4
AT2G40590,0,0,4
AT2G45240,0,0,4
AT2G46580,0,0,4
AT3G22860,0,0,4
AT3G48500,0,0,4
AT3G49910,0,0,4
AT3G53460,0,0,4
AT1G29880,0,7,3
AT1G59900,0,7,3
AT2G40290,0,6,3
AT3G08900,0,6,3
AT1G02050,0,5,3
AT1G02140,0,5,3
AT1G63000,0,5,3
AT1G75270,0,5,3
AT2G06990,0,5,3
AT2G19570,0,5,3
AT2G27600,0,5,3
AT2G27880,0,5,3
AT2G29320,0,5,3
AT2G40840,0,5,3
AT3G49010,0,5,3
AT3G52990,0,5,3
AT1G04190,0,4,3
AT1G04480,0,4,3
AT1G09490,0,4,3
AT1G14510,0,4,3
AT1G25350,0,4,3
AT1G25350,0,4,3
AT1G25490,0,4,3
AT1G26550,0,4,3
AT1G31440,0,4,3
AT1G42430,0,4,3
AT1G42430,0,4,3
AT1G70310,0,4,3
AT1G74050,0,4,3
AT1G74060,0,4,3
AT2G03750,0,4,3
AT2G16485,0,4,3
AT2G31810,0,4,3
AT2G33370,0,4,3
AT2G39460,0,4,3
AT2G39460,0,4,3
AT2G39840,0,4,3
AT2G45540,0,4,3
AT2G45540,0,4,3
AT3G04400,0,4,3
AT3G04600,0,4,3
AT3G08020,0,4,3
AT3G12290,0,4,3
AT3G15360,0,4,3
AT3G15660,0,4,3
AT3G54960,0,4,3
AT1G03090,0,3,3
AT1G04170,0,3,3
AT1G04510,0,3,3
AT1G04510,0,3,3
AT1G05720,0,3,3
AT1G06500,0,3,3
AT1G06500,0,3,3
AT1G06500,0,3,3
AT1G06500,0,3,3
AT1G06680,0,3,3
AT1G06680,0,3,3
AT1G09490,0,3,3
AT1G09590,0,3,3
AT1G09690,0,3,3
AT1G13930,0,3,3
AT1G13930,0,3,3
AT1G13930,0,3,3
AT1G14320,0,3,3
AT1G14320,0,3,3
AT1G22920,0,3,3
AT1G23800,2,3,3
AT1G24180,0,3,3
AT1G26480,0,3,3
AT1G43190,0,3,3
AT1G43190,0,3,3
AT1G43190,0,3,3
AT1G48030,0,3,3
AT1G48030,0,3,3
AT1G48350,0,3,3
AT1G48900,0,3,3
AT1G48900,0,3,3
AT1G50300,0,3,3
AT1G50670,0,3,3
AT1G53580,0,3,3
AT1G53580,0,3,3
AT1G57660,0,3,3
AT1G57860,0,3,3
AT1G59830,0,3,3
AT1G62640,0,3,3
AT1G62640,0,3,3
AT1G66240,0,3,3
AT1G78680,0,3,3
AT1G78680,0,3,3
AT2G04390,0,3,3
