Protein,AT3G01460,AT3G01460,WT
ATCG01060,3,6,4
AT1G02500,2,2,0
AT1G03330,2,0,0
AT1G04480,2,4,3
AT1G05190,2,0,0
AT1G07320,2,3,3
AT1G09070,2,3,4
AT1G10630,2,0,2
AT1G12310,2,5,0
AT1G13270,2,2,3
AT1G15820,2,4,3
AT1G17860,2,3,3
AT1G21500,2,0,0
AT1G23490,2,0,2
AT1G24510,2,2,2
AT1G30360,2,3,0
AT1G33590,2,3,0
AT1G43170,2,0,0
AT1G44575,2,0,0
AT1G45000,2,5,6
AT1G48610,2,3,3
AT1G49975,2,2,0
AT1G52100,2,3,5
AT1G52360,2,4,2
AT1G56340,2,0,0
AT1G60900,2,0,0
AT1G62020,2,3,2
AT1G62660,2,6,4
AT1G62820,2,4,0
AT1G64510,2,2,0
AT1G66240,2,0,0
AT1G66280,2,4,4
AT1G66410,2,2,2
AT1G70490,2,0,2
AT1G71695,2,0,0
AT1G72730,2,4,3
AT1G74970,2,0,0
AT1G78300,2,3,0
AT2G01140,2,2,0
AT2G04520,2,0,2
AT2G06850,2,0,0
AT2G07698,2,2,2
AT2G10940,2,0,0
AT2G14120,2,4,4
AT2G16360,2,2,0
AT2G16600,2,2,0
AT2G18020,2,0,0
AT2G20260,2,0,0
AT2G20890,2,0,3
AT2G22230,2,0,0
AT2G23350,2,2,0
AT2G23810,2,0,0
AT2G25080,2,0,0
AT2G27030,2,2,2
AT2G27100,2,0,0
AT2G27710,2,2,2
AT2G33370,2,4,3
AT2G37190,2,0,3
AT2G37220,2,3,4
AT2G38210,2,2,2
AT2G38540,2,3,4
AT2G39460,2,0,0
AT2G39990,2,2,0
AT2G41110,2,2,2
AT2G42590,2,3,2
AT2G42600,2,3,0
AT2G44120,2,0,0
AT2G45180,2,0,0
AT2G45290,2,5,3
AT2G46820,2,0,0
AT2G47170,2,0,2
AT2G47400,2,0,2
AT3G01390,2,2,3
AT3G02520,2,2,0
AT3G04400,2,4,3
AT3G05560,2,0,3
AT3G05590,2,2,0
AT3G06050,2,4,3
AT3G06610,2,0,0
AT3G09680,2,0,0
AT3G09740,2,2,0
AT3G09880,2,4,7
AT3G11500,2,2,3
AT3G12390,2,0,2
AT3G13460,2,5,2
AT3G13860,2,0,0
AT3G13920,2,5,3
AT3G14080,2,0,0
AT3G15190,2,2,3
AT3G15980,2,4,2
AT3G16430,2,3,2
AT3G16450,2,6,4
AT3G16830,2,6,3
AT3G17390,2,3,3
AT3G20820,2,6,4
AT3G21055,2,0,0
AT3G25920,2,5,3
AT3G26340,2,3,0
