Protein,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT4G23670,4,1,1,6,6,3
AT1G66410,4,4,6,6,6,8
AT5G02500,5,1,32,58,25,17
AT4G33680,5,7,15,29,23,26
AT3G17390,5,1,12,11,12,5
AT2G18020,5,4,6,10,11,3
AT3G11630,5,2,8,7,10,10
AT5G19510,5,3,8,9,9,3
AT1G33960,5,0,0,0,6,0
AT2G27710,5,1,3,5,4,3
AT1G07890,6,0,14,21,15,13
AT5G28540,6,5,14,36,15,15
AT5G09810,6,2,17,40,14,7
AT4G12960,6,1,6,8,12,6
AT3G49010,6,5,9,11,9,7
AT4G15000,6,1,7,7,3,7
AT3G09820,7,4,6,16,16,12
AT3G09630,7,4,16,14,13,12
AT5G27850,7,4,9,14,12,6
AT3G62870,7,1,11,10,7,6
AT2G39730,8,2,18,27,23,12
AT5G36160,8,5,17,25,20,18
AT1G67090,8,8,20,18,17,15
AT4G21280,8,6,11,20,11,13
AT3G16640,9,5,6,9,9,8
AT1G71080,10,8,19,23,28,27
AT2G17630,10,3,22,18,26,11
AT5G24780,10,7,20,21,16,11
AT4G17390,10,9,18,14,12,17
AT5G02490,11,6,107,432,119,71
AT1G56070,11,4,25,55,32,21
AT3G44690,11,0,9,14,16,10
AT4G35090,11,4,15,15,11,16
AT2G29560,12,2,23,25,54,24
AT5G25980,13,0,14,16,34,8
AT1G43170,13,9,18,25,17,17
AT5G52040,15,10,61,69,90,70
AT3G44320,15,23,34,40,67,44
AT1G20620,15,7,27,46,35,29
AT3G23600,15,10,33,30,23,19
AT4G37800,15,10,19,22,22,14
AT5G38420,17,11,41,44,46,31
AT4G35630,29,20,72,62,73,48
AT1G19480,58,51,104,84,97,78
ATCG00490,67,52,110,139,112,88
AT3G15730,79,23,94,114,126,95
AT3G08590,80,41,118,127,124,68
